"rules";"support";"confidence";"lift";"count"
"{other vegetables,tropical fruit} => {yogurt}";0,0123029994916116;0,342776203966006;2,45714574781754;121
"{other vegetables,yogurt} => {tropical fruit}";0,0123029994916116;0,283372365339578;2,7005496251112;121
"{tropical fruit,yogurt} => {whole milk}";0,0151499745805796;0,517361111111111;2,02476980810894;149
"{tropical fruit,whole milk} => {yogurt}";0,0151499745805796;0,358173076923077;2,56751618916797;149
"{whole milk,yogurt} => {tropical fruit}";0,0151499745805796;0,270417422867514;2,57708852122286;149
"{rolls/buns,tropical fruit} => {whole milk}";0,0109811896288765;0,446280991735537;1,7465871682129;108
"{tropical fruit,whole milk} => {rolls/buns}";0,0109811896288765;0,259615384615385;1,41145235361653;108
"{other vegetables,tropical fruit} => {whole milk}";0,0170818505338078;0,475920679886686;1,86258650484901;168
"{tropical fruit,whole milk} => {other vegetables}";0,0170818505338078;0,403846153846154;2,08713973887384;168
"{root vegetables,yogurt} => {other vegetables}";0,0129130655821047;0,5;2,58407777193904;127
"{other vegetables,root vegetables} => {yogurt}";0,0129130655821047;0,272532188841202;1,95361084347902;127
"{other vegetables,yogurt} => {root vegetables}";0,0129130655821047;0,297423887587822;2,72869770002447;127
"{root vegetables,yogurt} => {whole milk}";0,0145399084900864;0,562992125984252;2,20335358498015;143
"{root vegetables,whole milk} => {yogurt}";0,0145399084900864;0,297297297297297;2,1311362382791;143
"{whole milk,yogurt} => {root vegetables}";0,0145399084900864;0,259528130671506;2,38102534062898;143
"{rolls/buns,root vegetables} => {other vegetables}";0,0122013218098627;0,502092050209205;2,59488981282582;120
"{other vegetables,root vegetables} => {rolls/buns}";0,0122013218098627;0,257510729613734;1,40000996448373;120
"{other vegetables,rolls/buns} => {root vegetables}";0,0122013218098627;0,286396181384248;2,6275246678303;120
"{rolls/buns,root vegetables} => {whole milk}";0,012709710218607;0,523012552301255;2,04688756541299;125
"{root vegetables,whole milk} => {rolls/buns}";0,012709710218607;0,25987525987526;1,41286521883537;125
"{other vegetables,root vegetables} => {whole milk}";0,0231825114387392;0,489270386266094;1,91483257020575;228
"{root vegetables,whole milk} => {other vegetables}";0,0231825114387392;0,474012474012474;2,44977019543494;228
"{other vegetables,whole milk} => {root vegetables}";0,0231825114387392;0,309782608695652;2,84208204899416;228
"{soda,yogurt} => {whole milk}";0,0104728012201322;0,382899628252788;1,49853475681105;103
"{soda,whole milk} => {yogurt}";0,0104728012201322;0,261421319796954;1,87396405262613;103
"{other vegetables,soda} => {whole milk}";0,0139298423995933;0,425465838509317;1,66512396408242;137
"{soda,whole milk} => {other vegetables}";0,0139298423995933;0,347715736040609;1,79704900891192;137
"{rolls/buns,yogurt} => {other vegetables}";0,0114895780376207;0,334319526627219;1,72781531496516;113
"{other vegetables,yogurt} => {rolls/buns}";0,0114895780376207;0,26463700234192;1,4387534096367;113
"{other vegetables,rolls/buns} => {yogurt}";0,0114895780376207;0,269689737470167;1,93323510788564;113
"{rolls/buns,yogurt} => {whole milk}";0,015556685307575;0,452662721893491;1,77156302022383;153
"{whole milk,yogurt} => {rolls/buns}";0,015556685307575;0,277676950998185;1,50964776841744;153
"{rolls/buns,whole milk} => {yogurt}";0,015556685307575;0,274685816876122;1,969048840362;153
"{other vegetables,yogurt} => {whole milk}";0,0222674123029995;0,51288056206089;2,00723451168677;219
"{whole milk,yogurt} => {other vegetables}";0,0222674123029995;0,397459165154265;2,05413078785717;219
"{other vegetables,whole milk} => {yogurt}";0,0222674123029995;0,297554347826087;2,13297887089618;219
"{other vegetables,rolls/buns} => {whole milk}";0,0178952719877987;0,420047732696897;1,64391939955192;176
"{rolls/buns,whole milk} => {other vegetables}";0,0178952719877987;0,315978456014363;1,63302580919667;176
